substrate,tf,alpha
BDH1,ABF1,-0.116852
BDH1,BAS1,-0.020618
BDH1,MSN2,-0.249258
BDH2,ABF1,-0.068950
BDH2,MET32,0.076469
BDH2,MSN2,-0.055875
BDH2,PDR1,0.109836
BDH2,PDR3,0.000000
BDH2,SOK2,-0.205337
BDH2,STE12,0.044996
BDS1,HCM1,-0.229443
BDS1,MET32,0.033725
BDS1,MET4,-0.012746
BEM2,LEU3,0.099509
BEM2,STE12,0.058288
BEM2,SWI5,0.288479
BEM2,TEC1,0.238315
BER1,SKO1,0.092152
BIO2,SOK2,0.048608
BIR1,ABF1,0.208840
BIT61,ABF1,-0.025531
BLI1,IXR1,-0.111412
BMH1,ACE2,0.211170
BMH1,GCR1,-0.227665
BMH1,STB5,0.000000
BMH2,RAP1,-0.097067
BNA1,GCN4,0.035037
BNA1,RAP1,-0.550548
BNA1,STE12,-0.273676
BNA1,SUM1,-0.026468
BNA1,TEC1,0.042335
BNA2,ABF1,0.122093
BNA2,FHL1,-0.477444
BNA2,HAP3,-0.295313
BNA2,MSN2,0.000000
BNA2,SUM1,0.000000
BNA3,CBF1,-0.022069
BNA3,FLO8,-0.162891
BNA3,MCM1,0.051634
BNA3,MET31,-0.051365
BNA3,MET32,0.119857
BNA4,YHP1,0.104107
BNA5,ABF1,0.000000
BNA5,RAP1,-0.257794
BNR1,STE12,0.104652
BNS1,CIN5,-0.138625
BNS1,STE12,-0.214245
BNS1,TEC1,-0.189425
BOI1,STE12,0.133961
BOS1,YRM1,-0.149935
BPT1,TEC1,0.019620
BRX1,ABF1,0.419016
BRX1,DAL82,-0.058356
BSC1,AZF1,0.060188
BSC1,RLM1,0.296349
BSC1,SKO1,0.028063
BSC1,SOK2,0.000000
BSC1,TUP1,-0.004091
BSC2,HSF1,-0.082463
BSC2,RAP1,0.000000
BSC5,GCN4,-0.115288
BSC5,HSF1,0.170496
BSC5,NRG1,0.000000
BSC5,YAP1,-0.247651
BSC6,RAP1,0.032536
BSP1,PDR1,0.195785
BUB2,FHL1,0.107293
BUD19,STE12,-0.044783
BUD20,MSN2,0.356599
BUD20,RAP1,0.069819
BUD20,YAP1,-0.039635
BUD20,YOX1,0.000000
BUD21,ABF1,0.330966
BUD21,DAL82,-0.034890
BUD22,RAP1,0.207492
BUD26,STE12,0.113029
BUD27,ABF1,0.209380
BUD27,PDR1,0.006605
BUD27,RAP1,0.062490
BUD27,REB1,0.067889
BUD27,STB5,0.091813
BUD3,YAP1,-0.075979
BUD31,MSN2,0.253365
BUD4,ASH1,-0.201178
BUD4,STE12,0.000000
BUD7,CBF1,0.002923
BUD7,TEC1,-0.006480
BUD9,ACE2,0.530344
BUD9,FKH1,-0.105663
BUD9,MBP1,-0.120337
BUD9,MCM1,0.042488
BUD9,SOK2,-0.124938
BUD9,STE12,0.164167
BUD9,SWI4,0.089807
BUR6,MCM1,-0.193798
BUR6,MSN2,0.101450
BUR6,YOX1,-0.101917
BXI1,SFP1,-0.159011
BXI1,SPT23,-0.081398
CAB2,MSN2,-0.088280
CAB4,STB1,-0.287196
CAF120,RAP1,0.032296
CAF120,STE12,0.247750
CAF16,GCN4,0.000000
CAF16,MCM1,-0.178266
CAF20,SKN7,-0.103447
CAM1,PHD1,-0.188476
CAN1,DAL80,0.372861
CAN1,GCN4,0.035549
CAP1,MSS11,0.063856
CAP1,PDR3,0.066987
CAP1,SKO1,-0.096636
CAR1,ABF1,-0.039690
CAR1,ARG80,0.019005
CAR1,ARG81,0.036779
CAR1,GCN4,0.061685
CAR1,GLN3,-0.020126
CAR1,MCM1,-0.133356
CAR1,MSN2,0.000000
CAR1,RAP1,0.079662
CAR1,SWI4,-0.057187
CAR2,ADR1,0.000000
CAR2,ARG80,0.098882
CAR2,ARG81,0.002858
CAR2,DAL82,-0.062271
CAR2,MCM1,-0.190802
CAR2,RAP1,0.088297
CAR2,UME6,0.147852
CAT2,ADR1,0.104225
CAT2,BAS1,-0.092084
CAT2,UME6,-0.026527
CAT8,AFT1,-0.148347
CAT8,SOK2,0.022630
CBF1,PHO4,0.016600
CBF2,CIN5,0.162591
CBF2,STE12,0.221351
CBP2,MSN4,-0.075822
CBP3,MSN2,-0.144283
CBP3,SKO1,-0.167943
CCA1,STE12,-0.077147
CCC1,YAP5,-0.053058
CCC2,AFT1,-0.080626
CCC2,AFT2,-0.423098
CCC2,RPN4,0.151976
CCE1,DAL81,0.122494
CCH1,RAP1,0.000000
CCH1,STE12,0.056251
CCL1,STE12,-0.170863
CCM1,FHL1,0.217501
CCP1,CIN5,0.037060
CCP1,MSN2,0.097648
CCP1,MSN4,0.298483
CCP1,SKN7,-0.109768
CCP1,YAP1,0.000000
CCS1,CBF1,0.135928
CCS1,MSN2,0.069395
CCS1,YAP1,0.000000
CCT4,HIR2,-0.043596
CCW12,FLO8,0.117189
CCW12,RAP1,0.295264
CCW12,SOK2,-0.327825
CCW12,STE12,0.000000
CCW12,TEC1,0.000000
CCW12,YAP1,0.032320
CCW12,YRM1,0.000000
CCW14,ABF1,0.179241
CCW14,RAP1,-0.181970
CCW14,RLM1,0.176040
CCW14,YRM1,-0.110504
CDC13,RAP1,-0.020841
CDC14,STE12,0.006621
CDC16,ABF1,0.228486
CDC16,STE12,-0.069200
CDC19,ABF1,-0.054531
CDC19,GCR1,0.023402
CDC19,GCR2,0.000000
CDC19,MSN2,-0.025313
CDC19,RAP1,0.214317
CDC19,ROX1,-0.028481
CDC19,TYE7,-0.009594
CDC20,ABF1,0.274347
CDC20,BAS1,-0.070369
CDC20,PDR1,0.330564
CDC20,STE12,0.000000
CDC20,YOX1,-0.093678
CDC21,MBP1,-0.234521
CDC21,SWI4,0.204614
CDC24,STE12,0.000000
CDC24,TEC1,-0.212517
CDC26,ACE2,-0.229197
CDC26,MSN2,0.045314
CDC3,YRM1,-0.286295
CDC34,ASH1,-0.226575
CDC34,MSN2,0.000000
CDC34,STE12,0.000000
CDC37,YAP5,0.066369
CDC39,RPN4,0.240564
CDC42,ABF1,0.103471
CDC45,MBP1,-0.190018
CDC45,SWI6,-0.064347
CDC48,MSN2,-0.202706
CDC48,RAP1,0.000000
CDC5,CBF1,0.264915
CDC5,MCM1,-0.006763
CDC5,YOX1,0.388723
CDC6,GCR2,0.153957
CDC6,MBP1,0.000000
CDC6,MCM1,-0.027046
CDC6,MSN2,0.031317
CDC6,SWI4,-0.112997
CDC6,SWI5,0.377863
CDC6,TEC1,0.012706
CDC60,SOK2,0.273278
CDC60,UME6,0.041177
CDC7,ABF1,-0.051880
CDS1,ABF1,0.280527
CDS1,INO2,0.003392
CDS1,INO4,0.000000
CEM1,BAS1,-0.030182
CEM1,YAP1,0.000000
CEX1,RAP1,-0.026089
CFD1,ABF1,0.025746
CFD1,BAS1,-0.003361
CFD1,SFP1,0.000000
CFT1,RAP1,0.171367
CFT1,STE12,-0.168439
CHA1,ABF1,0.145680
CHA1,CHA4,-0.251426
CHA1,PHO4,0.104465
CHA1,STE12,-0.032452
CHO1,INO4,0.313172
CHO2,ABF1,0.052438
CHO2,HSF1,-0.070264
CHO2,MSN2,0.000000
CHO2,RAP1,0.042342
CHS1,MSN2,-0.053541
CHS1,SOK2,-0.073093
CHS1,SWI4,-0.162435
CHS1,SWI5,0.250451
CHS2,FKH2,0.459819
CHS2,HAP4,-0.195461
CHS3,STE12,0.321661
CHS7,MBP1,-0.056808
CHS7,RAP1,-0.183575
CHS7,STE12,0.011873
CHS7,TEC1,-0.036003
CIA2,GCN4,0.034598
CIA2,RAP1,0.056465
CIC1,PHO4,0.052087
CIK1,ABF1,0.119946
CIK1,CBF1,0.028453
CIK1,STE12,0.157909
CIN1,SKN7,0.092005
CIN1,STE12,-0.206773
CIN1,TEC1,0.000000
CIN2,MBP1,-0.251092
CIN2,STE12,0.080307
CIN4,GCN4,0.157024
CIN5,FLO8,0.000000
CIN5,MSN2,0.112490
CIN5,SOK2,0.001298
CIN5,STE12,-0.120933
CIN5,YAP1,0.029529
CIN5,YAP6,0.061602
CIN8,HCM1,0.487935
CIS3,CBF1,0.190981
CIS3,MCM1,-0.131239
CIS3,PHD1,-0.013017
CIS3,PHO4,0.062401
CIS3,RAP1,0.000000
CIS3,REB1,0.000000
CIS3,RLM1,-0.056045
CIS3,SKN7,0.000000
CIS3,SWI4,0.455703
CIS3,SWI6,0.248623
CIS3,TEC1,0.116670
CIT1,CBF1,-0.059918
CIT1,HAP2,0.067770
CIT1,HAP3,-0.222100
CIT1,HAP4,0.000000
CIT1,MSN2,-0.292961
CIT1,RGM1,0.066305
CIT1,RTG3,-0.127800
CIT2,CAT8,0.161424
CIT2,MSN2,-0.108736
CIT2,RPN4,0.000000
CIT2,RTG1,0.167387
CIT2,UPC2,0.000000
CKI1,INO4,0.166051
CKS1,GCR2,0.087286
CKS1,MSN2,0.000000
CLA4,STE12,0.158721
CLA4,TEC1,-0.198250
CLA4,YRM1,0.122895
CLB1,MCM1,-0.149269
CLB1,MSN2,-0.217596
CLB1,RAP1,0.404715
CLB1,STE12,0.050751
CLB1,SWI4,0.147316
CLB1,YAP1,0.000000
CLB1,YHP1,0.419297
CLB2,AFT1,0.018938
CLB2,FKH1,0.339384
CLB2,FKH2,-0.086552
CLB2,MCM1,-0.027364
CLB2,NDD1,0.323659
CLB2,RAP1,0.109040
CLB2,STE12,0.000000
CLB2,SWI4,0.015567
CLB2,XBP1,-0.054291
CLB2,YOX1,0.221239
CLB3,DAL82,-0.064051
CLB3,YRM1,-0.036555
CLB5,MBP1,0.000000
CLB5,SWI4,0.078620
CLB5,SWI6,-0.261852
