substrate,cyclebase_rank,periodicity_pvalue,peaktime_pct,q_x,q_rank,q_sigmoid,q_pcomplement,multiplier_amplitude
ERT1,4540,0.0334984,73.0,0.2604,0.2604,0.5217,0.9665,1.0793
ERV14,4739,11.6121,88.0,0.228,0.228,0.2345,0,1.2109
ERV15,4812,0.673389,70.0,0.2161,0.2161,0.3625,0.3266,2.1657
ERV25,498,0.00205795,34.0,0.919,0.919,0.6666,0.9979,0.9292
ERV29,1242,0.0545764,84.0,0.7978,0.7978,0.4952,0.9454,1.0096
ERV46,5744,5.16978,13.0,0.0642,0.0642,0.2675,0,0.9292
ESBP6,3712,118.749,63.0,0.3953,0.3953,0.1561,0,1.2092
ESC8,160,6.20214e-13,16.0,0.9741,0.9741,0.9957,1.0,0.9292
ESF1,2025,3.62294e-06,79.0,0.6702,0.6702,0.8879,1.0,0.6418
ESF2,2590,0.034875,78.0,0.5781,0.5781,0.5195,0.9651,0.6154
EST3,,,,,,,,1.0793
EUG1,384,4.40365e-07,26.0,0.9376,0.9376,0.9261,1.0,0.5754
EXG1,513,6.77407e-11,32.0,0.9166,0.9166,0.9883,1.0,0.9289
EXG2,411,5.67424e-06,38.0,0.9332,0.9332,0.8779,1.0,2.1175
EXO5,5123,0.40986,84.0,0.1654,0.1654,0.3877,0.5901,0.9292
FAA1,2138,0.227918,4.0,0.6518,0.6518,0.4184,0.7721,0.8977
FAA3,291,2.47258e-13,1.0,0.9527,0.9527,0.9965,1.0,1.1115
FAA4,713,1.063e-07,98.0,0.884,0.884,0.9446,1.0,1.1299
FAF1,698,0.0025367,64.0,0.8864,0.8864,0.6564,0.9975,1.0096
FAL1,921,0.000557872,64.0,0.8501,0.8501,0.7264,0.9994,1.0096
FAP7,1195,0.00980461,57.0,0.8054,0.8054,0.5875,0.9902,0.5125
FAR1,136,3.08772e-15,89.0,0.978,0.978,0.9986,1.0,1.0863
FAR8,1162,0.116472,12.0,0.8108,0.8108,0.4542,0.8835,0.7277
FAS1,1050,1.98269e-07,11.0,0.8291,0.8291,0.9371,1.0,0.5709
FAS2,3188,0.00172159,33.0,0.4807,0.4807,0.6751,0.9983,0.5864
FAT1,1354,0.213504,22.0,0.7795,0.7795,0.4218,0.7865,1.0863
FAU1,5846,24.7258,84.0,0.0476,0.0476,0.2063,0,0.6154
FBA1,5673,2.77451,78.0,0.0758,0.0758,0.2948,0,0.2722
FCF1,1023,0.00119405,70.0,0.8335,0.8335,0.6923,0.9988,0.7644
FCF2,1614,0.0025812,85.0,0.7372,0.7372,0.6556,0.9974,0.9074
FCY2,2211,0.0192962,6.0,0.6399,0.6399,0.5515,0.9807,0.7802
FES1,3325,0.00440295,84.0,0.4584,0.4584,0.6289,0.9956,0.6769
FET3,393,1.42591e-13,64.0,0.9361,0.9361,0.9969,1.0,0.6056
FET4,2149,0.0519558,70.0,0.65,0.65,0.4979,0.948,0.8072
FET5,5484,11.4149,74.0,0.1066,0.1066,0.2352,0,0.9192
FHN1,5792,33.3468,12.0,0.0564,0.0564,0.1959,0,1.0793
FIG1,1667,1.01208e-05,95.0,0.7285,0.7285,0.8638,1.0,0.5588
FIG2,926,1.78337e-07,79.0,0.8493,0.8493,0.9384,1.0,1.0033
FIG4,2164,0.00219417,91.0,0.6475,0.6475,0.6635,0.9978,1.2109
FIN1,566,4.92318e-08,53.0,0.9079,0.9079,0.9527,1.0,0.9292
FIP1,1638,4.53265e-05,67.0,0.7333,0.7333,0.8207,1.0,0.8141
FIR1,129,1.17314e-13,52.0,0.9791,0.9791,0.997,1.0,1.0096
FIT2,1963,0.00094206,52.0,0.6803,0.6803,0.7032,0.9991,0.5714
FIT3,1765,2.64144e-05,63.0,0.7126,0.7126,0.8373,1.0,0.562
FKH2,386,4.9123e-12,57.0,0.9373,0.9373,0.9933,1.0,1.0096
FKS1,266,1.87178e-09,32.0,0.9568,0.9568,0.9762,1.0,1.3149
FLC1,239,5.92512e-11,13.0,0.9612,0.9612,0.9886,1.0,1.0513
FLC2,768,6.05915e-06,22.0,0.875,0.875,0.8763,1.0,0.6919
FLD1,5476,29.7267,12.0,0.1079,0.1079,0.1999,0,1.0793
FLO8,3094,16.7847,56.0,0.496,0.496,0.2205,0,0.8361
FLR1,339,1.82357e-09,46.0,0.9449,0.9449,0.9763,1.0,0.5125
FMC1,2475,0.268371,95.0,0.5969,0.5969,0.4098,0.7316,1.486
FMP23,5394,9.59579,15.0,0.1212,0.1212,0.242,0,0.3952
FMP25,3181,0.182079,11.0,0.4818,0.4818,0.4303,0.8179,0.5125
FMP40,1149,0.000968462,4.0,0.8129,0.8129,0.7019,0.999,0.5268
FMP43,1218,0.000974871,18.0,0.8017,0.8017,0.7016,0.999,0.4623
FMP52,4276,6.80855,66.0,0.3034,0.3034,0.256,0,4.267
FOB1,3388,0.0444657,88.0,0.4481,0.4481,0.5064,0.9555,1.6133
FOL1,4237,1.12411,72.0,0.3098,0.3098,0.3372,0,1.4969
FOL2,5552,1.04592,19.0,0.0955,0.0955,0.3407,0,0.3952
FOX2,5176,1.89879,86.0,0.1568,0.1568,0.3122,0,0.7992
FPK1,4575,1.62549,99.0,0.2547,0.2547,0.3195,0,1.0096
FPR1,3587,2.04424,86.0,0.4157,0.4157,0.3088,0,0.5125
FPR4,3372,0.00136215,92.0,0.4507,0.4507,0.6862,0.9986,2.1175
FPS1,4075,1.22189,59.0,0.3362,0.3362,0.3331,0,1.0642
FRE1,761,9.11314e-07,66.0,0.8762,0.8762,0.9145,1.0,0.6605
FRE3,3398,8.12851,55.0,0.4465,0.4465,0.2487,0,0.8314
FRE6,1357,0.0030543,56.0,0.779,0.779,0.6473,0.9969,0.5932
FRQ1,2142,0.0564837,72.0,0.6511,0.6511,0.4934,0.9435,0.685
FRS1,3557,0.720417,49.0,0.4206,0.4206,0.3591,0.2796,1.0479
FRS2,4488,1.14911,73.0,0.2689,0.2689,0.3361,0,0.6968
FRT1,1433,0.0442193,53.0,0.7667,0.7667,0.5067,0.9558,0.901
FSF1,5691,15.7811,69.0,0.0728,0.0728,0.2228,0,0.8214
FSH1,3640,0.0135023,91.0,0.407,0.407,0.5706,0.9865,0.6843
FSH2,2444,0.309788,97.0,0.6019,0.6019,0.4023,0.6902,1.0793
FSH3,2412,0.251737,99.0,0.6071,0.6071,0.4131,0.7483,1.2134
FTH1,6047,25.6434,66.0,0.0148,0.0148,0.2051,0,0.9286
FTR1,1214,2.23144e-06,58.0,0.8023,0.8023,0.898,1.0,0.4846
FUI1,3462,0.000908328,78.0,0.436,0.436,0.7048,0.9991,0.6693
FUN19,3990,5.06324,58.0,0.35,0.35,0.2684,0,1.2714
FUN26,320,2.81992e-10,80.0,0.948,0.948,0.9841,1.0,0.956
FUN30,3923,3.23116,97.0,0.3609,0.3609,0.288,0,1.0793
FUR1,824,5.15264e-05,67.0,0.8659,0.8659,0.8166,0.9999,1.0096
FUR4,3231,1.84717,72.0,0.4737,0.4737,0.3135,0,0.79
FUS1,873,2.26558e-13,1.0,0.8579,0.8579,0.9966,1.0,0.8637
FUS2,1363,2.9058e-05,93.0,0.7781,0.7781,0.8345,1.0,0.9401
FUS3,1984,5.43831e-06,85.0,0.6769,0.6769,0.8789,1.0,1.0913
FYV4,3737,0.0353074,74.0,0.3912,0.3912,0.5189,0.9647,1.0793
FYV6,5752,2.43284,92.0,0.0629,0.0629,0.3008,0,0.805
FYV7,1270,0.000277028,75.0,0.7932,0.7932,0.7555,0.9997,1.6758
FZO1,2171,0.00264741,76.0,0.6464,0.6464,0.6543,0.9974,0.5151
GAD1,674,1.68166e-05,1.0,0.8903,0.8903,0.8503,1.0,0.3952
GAL11,4957,0.174924,67.0,0.1924,0.1924,0.4324,0.8251,1.0096
GAP1,1526,4.39608e-09,66.0,0.7515,0.7515,0.9715,1.0,0.4544
GAR1,1186,0.003101,64.0,0.8069,0.8069,0.6465,0.9969,1.4361
GAS1,251,4.25673e-09,35.0,0.9593,0.9593,0.9717,1.0,4.267
GAS3,17,5.07767e-20,49.0,0.9974,0.9974,0.9999,1.0,1.0962
GAT1,1283,8.40882e-06,94.0,0.7911,0.7911,0.8684,1.0,1.0163
GAT2,2217,0.000776864,3.0,0.6389,0.6389,0.7118,0.9992,0.9311
GCD1,3522,0.00354727,80.0,0.4263,0.4263,0.6398,0.9965,0.795
GCD11,4487,0.127595,84.0,0.269,0.269,0.4493,0.8724,1.2368
GCD6,4576,0.0149579,81.0,0.2545,0.2545,0.5651,0.985,0.8222
GCN1,4768,0.0962181,88.0,0.2232,0.2232,0.4645,0.9038,0.6193
GCN2,5300,0.309962,80.0,0.1365,0.1365,0.4022,0.69,0.9292
GCN20,2806,2.5664,75.0,0.5429,0.5429,0.2983,0,1.0793
GCN4,4287,0.246939,71.0,0.3016,0.3016,0.4142,0.7531,0.8531
GCR1,549,3.68482e-05,57.0,0.9107,0.9107,0.8273,1.0,1.0096
GCS1,4690,27.9871,19.0,0.2359,0.2359,0.202,0,0.7686
GCV1,1154,0.000614925,62.0,0.8121,0.8121,0.7221,0.9994,1.1972
GCV2,407,3.9525e-08,63.0,0.9338,0.9338,0.9548,1.0,0.3937
GCV3,1278,5.90894e-05,66.0,0.7919,0.7919,0.8121,0.9999,0.5695
GCY1,1858,0.000376183,91.0,0.6974,0.6974,0.743,0.9996,1.0596
GDA1,282,2.09664e-07,42.0,0.9542,0.9542,0.9364,1.0,1.1972
GDB1,1556,0.0297896,11.0,0.7466,0.7466,0.5281,0.9702,1.2083
GDE1,5160,1.98647,3.0,0.1594,0.1594,0.3101,0,1.5064
GDH1,2605,0.503697,98.0,0.5757,0.5757,0.3772,0.4963,0.6266
GDH2,5644,68.3698,52.0,0.0805,0.0805,0.1725,0,1.3003
GDH3,1622,3.27634e-05,0.0,0.7359,0.7359,0.8309,1.0,0.7824
GDI1,5279,4.41859,5.0,0.14,0.14,0.2743,0,1.2109
GDS1,2233,0.00833819,17.0,0.6363,0.6363,0.596,0.9917,0.9219
GEA2,5862,66.3374,18.0,0.045,0.045,0.1734,0,0.6865
GEF1,5206,87.4246,12.0,0.1519,0.1519,0.165,0,1.0793
GFA1,457,5.5271e-05,99.0,0.9257,0.9257,0.8143,0.9999,0.7406
GFD1,2451,0.000854692,76.0,0.6008,0.6008,0.7076,0.9991,1.2109
GGC1,2893,0.0312766,52.0,0.5288,0.5288,0.5254,0.9687,0.3952
GIC1,150,8.94197e-11,39.0,0.9757,0.9757,0.9876,1.0,1.0793
GIC2,314,1.36542e-16,13.0,0.949,0.949,0.9993,1.0,0.641
GID7,5829,293.018,12.0,0.0504,0.0504,0.1319,0,1.0793
GID8,3184,0.0263501,89.0,0.4813,0.4813,0.5347,0.9736,0.9342
GIM3,1239,0.000597329,78.0,0.7983,0.7983,0.7234,0.9994,1.0096
GIM5,3697,0.302319,82.0,0.3978,0.3978,0.4035,0.6977,2.1657
GIR2,1114,0.000900557,79.0,0.8186,0.8186,0.7052,0.9991,0.6154
GIS1,3068,11.2303,4.0,0.5002,0.5002,0.2358,0,0.8994
GIS2,2852,0.349335,70.0,0.5354,0.5354,0.396,0.6507,0.9292
GIS3,5671,58.0165,6.0,0.0761,0.0761,0.1777,0,0.6688
GIS4,1828,0.137712,55.0,0.7023,0.7023,0.4452,0.8623,3.4735
GLC3,759,0.000438349,3.0,0.8765,0.8765,0.7366,0.9996,1.2944
GLC7,5585,0.0998652,76.0,0.0901,0.0901,0.4625,0.9001,1.0863
GLK1,335,8.23417e-12,10.0,0.9456,0.9456,0.9925,1.0,0.7227
GLN1,697,2.96817e-07,12.0,0.8866,0.8866,0.9317,1.0,1.3831
GLN3,4941,0.259443,89.0,0.195,0.195,0.4116,0.7406,0.3952
GLO1,4900,0.441234,95.0,0.2017,0.2017,0.3839,0.5588,0.8128
GLO4,3827,0.503572,11.0,0.3766,0.3766,0.3772,0.4964,1.0793
GLR1,3008,0.00613631,8.0,0.51,0.51,0.612,0.9939,0.5125
GLT1,5876,6.4612,48.0,0.0427,0.0427,0.2581,0,0.3952
GLY1,5556,10.7899,60.0,0.0948,0.0948,0.2374,0,0.355
GMH1,2845,2.52763,69.0,0.5366,0.5366,0.299,0,0.9292
GND1,4425,90.8804,60.0,0.2791,0.2791,0.1639,0,0.906
GND2,4586,2.40182,70.0,0.2529,0.2529,0.3014,0,0.8398
GNP1,4678,0.742645,79.0,0.2379,0.2379,0.3576,0.2574,0.5139
GON7,4194,19.2706,46.0,0.3168,0.3168,0.2154,0,0.9292
GOR1,690,0.000383133,12.0,0.8877,0.8877,0.7423,0.9996,0.894
GOS1,5919,12.0715,31.0,0.0357,0.0357,0.233,0,1.2368
GPA1,76,6.2162e-15,92.0,0.9878,0.9878,0.9984,1.0,0.8918
GPA2,1584,0.0156911,3.0,0.7421,0.7421,0.5626,0.9843,1.2714
GPD1,793,4.79419e-07,0.0,0.8709,0.8709,0.9248,1.0,0.6234
GPD2,3458,0.00018186,80.0,0.4367,0.4367,0.772,0.9998,0.3952
GPH1,1369,4.54565e-05,13.0,0.7771,0.7771,0.8206,1.0,0.8906
GPI12,4044,1.18946,36.0,0.3412,0.3412,0.3344,0,1.0438
GPI17,5554,599.991,44.0,0.0952,0.0952,0.1151,0,0.9292
GPM1,4717,2.15412,80.0,0.2315,0.2315,0.3064,0,0.6047
GPM2,2231,0.957024,5.0,0.6366,0.6366,0.345,0.043,2.0425
GPT2,4126,44.524,94.0,0.3278,0.3278,0.1862,0,0.5125
GPX1,2701,9.9701e-05,87.0,0.56,0.56,0.7942,0.9999,0.9522
GPX2,3868,0.0362705,88.0,0.3699,0.3699,0.5174,0.9637,0.7853
GRE2,2602,0.300766,86.0,0.5762,0.5762,0.4038,0.6992,0.4663
GRE3,942,0.000540335,6.0,0.8467,0.8467,0.7277,0.9995,0.7806
GRH1,1872,0.0028362,11.0,0.6951,0.6951,0.6509,0.9972,0.9292
GRS1,5013,0.619895,54.0,0.1833,0.1833,0.3666,0.3801,0.6154
GRS2,1636,0.00558887,83.0,0.7336,0.7336,0.6168,0.9944,1.1972
GRX2,1174,6.96519e-05,98.0,0.8089,0.8089,0.8066,0.9999,0.5125
GRX3,2344,0.00501715,9.0,0.6182,0.6182,0.6223,0.995,1.2714
GRX6,487,9.77895e-09,20.0,0.9208,0.9208,0.9662,1.0,1.2109
GRX7,4978,0.351799,12.0,0.189,0.189,0.3956,0.6482,1.0793
GSC2,2971,0.147661,10.0,0.5161,0.5161,0.4415,0.8523,0.7904
GSF2,5841,4.00219,55.0,0.0484,0.0484,0.2786,0,0.795
GSH1,1411,0.00346745,83.0,0.7702,0.7702,0.6409,0.9965,0.7195
GSH2,4249,0.00520379,86.0,0.3078,0.3078,0.6204,0.9948,0.5125
GSM1,2910,0.000221847,98.0,0.526,0.526,0.7643,0.9998,0.858
GSP1,6000,3.11416,99.0,0.0225,0.0225,0.2896,0,0.9286
GSY1,1347,0.0144449,0.0,0.7807,0.7807,0.567,0.9856,0.6555
GSY2,804,2.71091e-06,11.0,0.8692,0.8692,0.8941,1.0,0.5125
GTO1,5425,0.239971,94.0,0.1162,0.1162,0.4157,0.76,0.5125
GTR1,3456,0.0465529,81.0,0.437,0.437,0.5039,0.9534,0.5125
GTT1,2307,0.000317812,24.0,0.6242,0.6242,0.75,0.9997,1.2714
GTT2,6125,352.224,72.0,0.0021,0.0021,0.1274,0,0.5019
GTT3,165,8.68651e-11,49.0,0.9733,0.9733,0.9876,1.0,0.8971
GUA1,5748,5.72907,65.0,0.0635,0.0635,0.2632,0,0.9292
GUF1,1268,0.0070241,56.0,0.7935,0.7935,0.605,0.993,1.1481
GUP1,5475,171.552,64.0,0.108,0.108,0.1458,0,1.0096
GUT1,3575,0.278546,86.0,0.4176,0.4176,0.4078,0.7215,0.7892
GUT2,1817,0.4375,2.0,0.7041,0.7041,0.3844,0.5625,0.8
GVP36,6064,88.3144,89.0,0.0121,0.0121,0.1647,0,0.9292
GYL1,5388,21.1817,56.0,0.1222,0.1222,0.2119,0,0.969
GYP1,1852,0.0391713,47.0,0.6984,0.6984,0.5132,0.9608,1.2136
GYP5,1474,2.80013e-05,75.0,0.76,0.76,0.8356,1.0,1.0793
GYP8,535,5.71382e-07,86.0,0.913,0.913,0.9221,1.0,0.5125
GZF3,2892,0.0279711,67.0,0.5289,0.5289,0.5315,0.972,2.2957
HAA1,554,1.67157e-07,87.0,0.9099,0.9099,0.9392,1.0,0.7567
HAC1,3211,0.00156859,43.0,0.4769,0.4769,0.6796,0.9984,0.6689
HAL5,5724,29.4441,19.0,0.0675,0.0675,0.2002,0,0.8651
HAP1,1770,3.18944e-05,10.0,0.7117,0.7117,0.8317,1.0,0.5071
HAS1,1415,1.57793e-06,68.0,0.7696,0.7696,0.9047,1.0,1.2109
HAT2,3770,0.153592,68.0,0.3859,0.3859,0.4394,0.8464,0.9957
HBN1,,,,,,,,0.5125
HCH1,3467,0.442252,96.0,0.4352,0.4352,0.3838,0.5577,0.9286
HCM1,185,1.69971e-11,23.0,0.97,0.97,0.9913,1.0,0.9785
HCR1,5902,8.85107,12.0,0.0385,0.0385,0.2453,0,0.9192
HCS1,5913,111.395,91.0,0.0367,0.0367,0.1579,0,1.0096
HDA3,5583,2.78659,0.0,0.0904,0.0904,0.2946,0,2.1657
HEK2,276,1.98983e-14,55.0,0.9552,0.9552,0.998,1.0,1.0079
HEM1,5491,34.0533,49.0,0.1054,0.1054,0.1952,0,0.6686
HEM12,4701,29.3487,25.0,0.2342,0.2342,0.2003,0,0.8531
HEM13,1249,1.8844e-05,45.0,0.7966,0.7966,0.8471,1.0,0.7885
HEM2,5259,1.9962,72.0,0.1432,0.1432,0.3099,0,1.4361
HEM3,3789,0.000614952,97.0,0.3828,0.3828,0.7221,0.9994,1.0793
HEM4,5199,3.81273,62.0,0.153,0.153,0.2807,0,2.1657
HER1,4777,10.2816,2.0,0.2218,0.2218,0.2393,0,0.5125
HFD1,4834,5.81844,2.0,0.2125,0.2125,0.2625,0,1.1299
HFI1,3866,0.0306632,86.0,0.3702,0.3702,0.5265,0.9693,0.9292
HGH1,2148,0.00150555,83.0,0.6502,0.6502,0.6815,0.9985,0.5675
HHF1,66,5.80321e-19,39.0,0.9894,0.9894,0.9998,1.0,0.6969
HHF2,42,5.41501e-19,37.0,0.9933,0.9933,0.9998,1.0,2.2659
