substrate,tf,alpha,source
APL4,UME6,1.378372,teufel
APL5,AFT1,1.054549,teufel
APP1,CBF1,4.086455,teufel
APS2,CBF1,4.643685,yeastract_strict
APT2,ABF1,0.102882,teufel
APT2,TUP1,0.790785,teufel
AQR1,GCN4,0.047871,teufel
AQR1,NRG1,0.036469,teufel
AQR1,SOK2,0.388774,teufel
ARB1,HSF1,5.301673,teufel
ARC19,PDR3,7.960064,teufel
ARD1,SOK2,2.365736,teufel
ARE2,RAP1,0.028918,teufel
ARE2,TEC1,0.37375,teufel
ARE2,YAP1,0.385239,teufel
ARF1,RAP1,14.293785,teufel
ARF2,MSN2,18.947213,teufel
ARF3,MCM1,0.747704,teufel
ARG1,ARG81,1.018414,teufel
ARG1,FKH1,-2.148499,yeastract_strict
ARG1,GCN4,0.530932,teufel
ARG1,PHO4,0.321936,yeastract_strict
ARG2,GCN4,0.030553,teufel
ARG3,ASH1,0.002724,teufel
ARG3,GCN4,0.042474,teufel
ARG4,GCN4,0.270546,teufel
ARG5_6,GCN4,0.123318,teufel
ARG5_6,LEU3,0.13701,teufel
ARG5_6,YAP1,0.057259,teufel
ARG7,GCN4,0.166455,teufel
ARG8,GCN4,0.101112,teufel
ARH1,INO4,1.404546,yeastract_strict
ARI1,CIN5,0.873404,teufel
ARI1,SOK2,1.240943,teufel
ARI1,YOX1,0.083563,teufel
ARN1,AFT1,0.511983,teufel
ARN2,AFT1,0.598084,teufel
ARO1,GCN4,0.181724,teufel
ARO1,RPN4,0.264358,teufel
ARO2,GCN4,0.522366,teufel
ARO3,GCN4,0.077735,teufel
ARO4,GCN4,0.617252,teufel
ARO4,SOK2,0.872502,teufel
ARO7,DIG1,1.555724,teufel
ARO7,SOK2,1.302019,teufel
ARO8,GCN4,0.343233,teufel
ARO8,YAP1,0.799858,yeastract_strict
ARP8,CBF1,1.713353,yeastract_strict
ART10,STE12,0.746552,teufel
ASA1,CBF1,1.63776,yeastract_strict
ASC1,IFH1,29.139302,teufel
ASC1,RAP1,25.049067,teufel
ASE1,ABF1,0.307423,teufel
ASE1,MCM1,0.060102,teufel
ASE1,YAP1,0.003745,teufel
ASF1,MSN2,2.150948,teufel
ASF1,YHP1,0.038701,teufel
ASF2,GCN4,0.030548,teufel
ASG7,STE12,2.209353,teufel
ASH1,ACE2,2.462974,teufel
ASH1,MBP1,-0.019042,teufel
ASH1,SOK2,-0.701784,teufel
ASK1,CIN5,0.34566,teufel
ASK1,OAF1,1.217739,teufel
ASK1,OAF3,0.549004,teufel
ASK10,GCN4,0.072614,yeastract_strict
ASM4,STE12,1.219114,teufel
ASN1,GCN4,0.331879,teufel
ASN2,GCN4,0.966412,teufel
ASP1,ABF1,4.379979,teufel
ATC1,GLN3,1.382683,teufel
ATF1,RAP1,0.170608,teufel
ATF1,SPT23,0.302975,teufel
ATF1,SWI4,0.243785,teufel
ATF2,FHL1,0.7614,teufel
ATF2,SOK2,0.515403,teufel
ATG11,SOK2,0.342742,teufel
ATG11,STE12,0.395276,teufel
ATG12,INO4,0.333977,yeastract_strict
ATG13,GCN4,0.022366,teufel
ATG19,HSF1,0.179997,teufel
ATG19,RPN4,0.213904,teufel
ATG20,CBF1,0.925566,yeastract_strict
ATG22,YRM1,0.63948,teufel
ATG22,YRR1,0.025398,yeastract_strict
ATG26,RAP1,0.744063,teufel
ATG33,GCN4,0.065775,teufel
ATG34,STE12,0.313427,teufel
ATG8,UME6,0.349281,teufel
ATG9,ZAP1,0.838321,yeastract_strict
ATH1,GCN4,0.013615,teufel
ATH1,STE12,0.164153,teufel
ATM1,CBF1,3.88022,teufel
ATO3,GCN4,0.156161,yeastract_strict
ATP1,HAP2,11.398078,teufel
ATP14,HAP2,0.244277,teufel
ATP14,SOK2,0.971239,teufel
ATP15,HAP2,7.625235,teufel
ATP16,CIN5,2.163285,teufel
ATP16,MBP1,0.928704,teufel
ATP16,PHO4,1.552456,teufel
ATP17,ARO80,2.522856,teufel
ATP18,RDS2,6.985388,teufel
ATP2,HAP2,11.070896,teufel
ATP2,RDS2,2.915719,teufel
ATP20,HAP2,2.493218,teufel
ATP25,BAS1,0.277282,teufel
ATP25,STE12,0.328105,teufel
ATP3,HAP5,1.213844,teufel
ATP3,PDR1,1.002531,yeastract_strict
ATP7,GCN4,0.164539,teufel
ATP7,RAP1,0.102406,teufel
ATR1,GCN4,0.078966,teufel
ATR1,PHD1,0.424633,teufel
ATR1,YAP1,-0.267093,teufel
ATS1,GCN4,0.073035,yeastract_strict
ATX1,CBF1,2.767233,teufel
ATX1,PUT3,1.457445,teufel
AUS1,STE12,0.233305,teufel
AUS1,SUM1,0.120933,teufel
AVL9,STE12,0.227469,teufel
AVL9,UME6,0.778882,teufel
AVO1,PDR1,0.664091,yeastract_strict
AVT1,CIN5,5.39377,teufel
AVT4,RAP1,0.808142,teufel
AVT6,RAP1,0.416491,teufel
AVT6,STE12,0.533438,teufel
AVT7,YRM1,3.237655,teufel
AXL2,STE12,0.264936,teufel
AXL2,TEC1,0.594014,teufel
AXL2,YOX1,-0.086342,teufel
BAP2,GCN4,0.290868,teufel
BAP2,SOK2,0.646231,teufel
BAP3,ABF1,1.503119,teufel
BAP3,RAP1,1.247869,teufel
BAP3,STP1,0.863927,teufel
BAR1,MCM1,0.295601,teufel
BAR1,STE12,0.353303,teufel
BAR1,SWI5,0.69139,teufel
BAR1,TEC1,0.373397,teufel
BAT1,GCN4,0.595298,yeastract_strict
BAT2,ABF1,1.293,teufel
BAT2,ACE2,0.996579,teufel
BAT2,CIN5,1.824659,teufel
BAT2,SKN7,0.589117,teufel
BBC1,RAP1,1.670553,teufel
BBP1,STE12,0.609382,teufel
BCH2,STE12,0.929665,teufel
BCP1,YAP1,0.874091,teufel
BCS1,INO4,0.514679,yeastract_strict
BCY1,RAP1,1.047048,teufel
BCY1,UME6,0.664078,teufel
BDF1,CIN5,2.024793,teufel
BDF2,ABF1,2.192833,teufel
BDH1,ABF1,0.99415,teufel
BDH1,BAS1,1.002675,teufel
BDH1,MSN2,0.504724,teufel
BDH2,ABF1,0.061385,teufel
BDH2,MET32,0.138737,teufel
BDH2,PDR1,0.07726,teufel
BDH2,STE12,0.123219,teufel
BDS1,HCM1,0.319496,teufel
BDS1,MET32,0.452255,teufel
BDS1,MET4,0.209717,teufel
BEM2,LEU3,0.892678,teufel
BEM2,PDR1,0.660612,yeastract_strict
BEM2,STE12,1.0537,teufel
BEM2,SWI5,0.333058,teufel
BEM2,TEC1,0.611798,teufel
BEM4,CIN5,0.914169,teufel
BER1,SKO1,1.492821,teufel
BET3,CBF1,4.442657,yeastract_strict
BIK1,RAP1,0.376721,yeastract_strict
BIO2,MSN2,0.926438,yeastract_strict
BIO2,SOK2,1.082964,teufel
BIO4,MSN2,0.675899,yeastract_strict
BIR1,ABF1,0.575369,teufel
BLI1,IXR1,0.996792,teufel
BMH1,CBF1,23.389839,yeastract_strict
BMH1,GCR1,18.678414,teufel
BMH2,RAP1,7.321004,teufel
BNA1,GCN4,0.051315,teufel
BNA1,SUM1,0.362422,teufel
BNA1,TEC1,0.514149,teufel
BNA2,SUM1,0.168444,teufel
BNA3,FLO8,0.652543,teufel
BNA3,MCM1,0.260528,teufel
BNA3,MET31,0.427755,teufel
BNA3,MET32,0.503577,teufel
BNA4,YAP1,0.215449,yeastract_strict
BNA5,ABF1,0.173881,teufel
BNA5,RAP1,0.484653,teufel
BNR1,STE12,0.958789,teufel
BNS1,CIN5,0.204828,teufel
BNS1,STE12,0.450692,teufel
BOI1,STE12,0.967011,teufel
BOP2,GCN4,0.014529,yeastract_strict
BOS1,YRM1,1.59451,teufel
BPH1,RAP1,0.665661,yeastract_strict
BPH1,YOX1,0.121891,teufel
BPL1,YAP1,0.342527,yeastract_strict
BPT1,TEC1,1.284896,teufel
BRE5,CBF1,7.166851,yeastract_strict
BRX1,ABF1,1.747405,teufel
BRX1,DAL82,2.265289,teufel
BSC2,HSF1,0.523982,teufel
BSC6,RAP1,0.494884,teufel
BSD2,ABF1,0.332236,yeastract_strict
BSP1,PDR1,0.423624,teufel
BTN2,HSF1,0.760015,yeastract_strict
BUB2,FHL1,0.56187,teufel
BUB3,HSF1,0.244703,teufel
BUD19,STE12,0.391719,teufel
BUD20,RAP1,1.225164,teufel
BUD20,YAP1,0.881493,teufel
BUD20,YOX1,0.211379,teufel
BUD21,ABF1,1.14005,teufel
BUD22,RAP1,0.981362,teufel
BUD26,STE12,0.342506,teufel
BUD27,ABF1,0.225204,teufel
BUD27,RAP1,0.281176,teufel
BUD27,RPN4,0.147059,yeastract_strict
BUD3,YAP1,0.487786,teufel
BUD4,ASH1,-0.070247,teufel
BUD4,STE12,2.523856,teufel
BUD7,CBF1,1.607125,teufel
BUD7,TEC1,0.238422,teufel
BUD9,ACE2,1.157913,teufel
BUD9,FKH1,-0.168358,teufel
BUD9,MBP1,-0.114487,teufel
BUD9,SOK2,-0.014935,teufel
BUL2,PDR1,0.509989,yeastract_strict
BUR6,MCM1,2.646903,teufel
BUR6,MSN2,1.533399,teufel
BUR6,YOX1,0.491753,teufel
BYE1,ABF1,0.378417,teufel
CAB2,MSN2,1.808259,teufel
CAB4,STB1,1.265503,teufel
CAF120,MET31,0.394853,yeastract_strict
CAF120,STE12,0.105604,teufel
CAF16,GCN4,0.06299,teufel
CAF20,SKN7,5.576242,teufel
CAF4,RIM101,0.613531,yeastract_strict
CAF40,RAP1,0.294479,teufel
CAF40,STE12,0.769089,teufel
CAJ1,CIN5,4.412934,teufel
CAM1,PHD1,15.044967,teufel
CAN1,GCN4,0.045017,teufel
CAP1,MSS11,2.549768,teufel
CAP1,PDR3,0.180646,teufel
CAP1,SKO1,2.332601,teufel
CAP1,YRR1,1.047388,yeastract_strict
CAR1,GCN4,0.334737,teufel
CAR1,MCM1,-0.765722,teufel
CAR1,SWI4,0.306705,teufel
CAR2,ARG81,0.137097,teufel
CAR2,MCM1,0.130041,teufel
CAR2,RAP1,1.219404,teufel
CAT2,UME6,0.46018,teufel
CBF1,PHO4,0.500273,teufel
CBF2,CIN5,0.501742,teufel
CBF2,STE12,0.556637,teufel
CBP3,MSN2,0.861539,teufel
CBP3,SKO1,0.693336,teufel
CCA1,STE12,1.253709,teufel
CCC2,AFT1,0.276381,teufel
CCC2,RPN4,0.401806,teufel
CCE1,DAL81,0.542333,teufel
CCH1,RAP1,0.398973,teufel
CCH1,STE12,0.364562,teufel
CCL1,STE12,0.501709,teufel
CCM1,FHL1,0.058041,teufel
CCM1,RIM101,0.445628,yeastract_strict
CCP1,YAP1,1.806315,teufel
CCS1,YAP1,2.121342,teufel
CCT4,HIR2,5.227584,teufel
CCW12,FLO8,8.490079,teufel
CCW12,RAP1,46.367015,teufel
CCW12,SOK2,24.704338,teufel
CCW12,TEC1,31.883587,teufel
CCW12,YAP1,30.096218,teufel
CCW14,ABF1,6.078372,teufel
CCW14,RAP1,2.705141,teufel
CCW14,RLM1,2.188703,teufel
CCW14,YRM1,0.076198,teufel
CDC10,RPN4,1.82352,yeastract_strict
CDC14,STE12,1.431745,teufel
CDC16,ABF1,0.368137,teufel
CDC16,STE12,0.293066,teufel
CDC19,ABF1,17.948166,teufel
CDC19,GCR1,13.638599,teufel
CDC19,GCR2,28.521711,teufel
CDC19,MSN2,3.45552,teufel
CDC20,ABF1,0.235147,teufel
CDC20,PDR1,0.561193,teufel
CDC20,YOX1,-0.024025,teufel
CDC21,MBP1,0.141507,teufel
CDC21,SWI4,0.292168,teufel
CDC24,STE12,1.330368,teufel
CDC24,TEC1,0.298156,teufel
CDC26,ACE2,0.215385,teufel
CDC26,MSN2,0.560783,teufel
CDC3,YRM1,2.014219,teufel
CDC34,ASH1,-0.023622,teufel
CDC34,STE12,0.932825,teufel
CDC39,RPN4,0.443914,teufel
CDC42,ABF1,2.801293,teufel
CDC45,MBP1,0.017079,teufel
CDC45,SWI6,0.256072,teufel
CDC48,MSN2,4.29551,teufel
CDC48,RAP1,8.09035,teufel
CDC5,MCM1,0.957906,teufel
CDC5,YOX1,0.183957,teufel
CDC50,MET31,1.488021,yeastract_strict
CDC53,MSN2,2.194712,teufel
CDC6,GCR2,0.187999,teufel
CDC6,MBP1,0.069578,teufel
CDC6,TEC1,-0.007412,teufel
CDC60,SOK2,2.578736,teufel
CDC60,UME6,2.944777,teufel
CDC7,ABF1,0.257313,teufel
CDS1,ABF1,0.288953,teufel
CDS1,INO4,0.874701,teufel
CEM1,BAS1,0.243121,teufel
CEM1,YAP1,0.061289,teufel
CEX1,RAP1,0.658907,teufel
CFD1,ABF1,0.452545,teufel
CFD1,PDR1,0.118329,yeastract_strict
CFT1,RAP1,0.72615,teufel
CFT1,STE12,0.092991,teufel
CHA1,ABF1,6.750694,teufel
CHA1,PHO4,0.327012,teufel
CHC1,SKN7,4.581878,yeastract_strict
CHO1,INO4,6.245719,teufel
CHO2,ABF1,2.535547,teufel
CHO2,HSF1,2.971041,teufel
CHO2,RAP1,2.497807,teufel
CHS1,MET31,1.572244,yeastract_strict
CHS1,SWI4,0.188171,teufel
CHS2,FKH2,1.371452,teufel
CHS3,STE12,3.01393,teufel
CHS5,ABF1,3.210722,teufel
CHS6,YAP1,0.133487,yeastract_strict
CHS7,RAP1,0.506597,teufel
CHS7,STE12,1.746777,teufel
CHS7,TEC1,0.614864,teufel
CIC1,YAP1,0.871811,yeastract_strict
CIK1,ABF1,0.313052,teufel
CIK1,STE12,0.560881,teufel
CIN1,SKN7,0.282273,teufel
CIN1,STE12,0.05335,teufel
CIN1,TEC1,0.051278,teufel
CIN2,MBP1,0.016331,teufel
CIN2,STE12,0.435719,teufel
CIN4,GCN4,0.037444,teufel
CIN5,YAP1,0.152853,teufel
CIN8,GCN4,0.004212,yeastract_strict
CIN8,HCM1,0.489026,teufel
CIS1,BAS1,0.435436,yeastract_strict
CIS3,PHD1,12.405516,teufel
CIS3,RAP1,0.110133,teufel
CIS3,SWI6,18.037413,teufel
CIS3,TEC1,2.035477,teufel
CIT1,CBF1,0.268781,teufel
CIT1,HAP3,2.933078,teufel
CIT1,MSN2,0.088846,teufel
CIT1,RTG3,1.552584,teufel
CIT1,YRR1,0.194654,yeastract_strict
CIT2,MSN2,0.592852,teufel
CIT2,RPN4,2.007468,teufel
CKB2,CBF1,4.288505,yeastract_strict
CKI1,INO4,0.455695,teufel
CKS1,GCR2,0.439378,teufel
CKS1,MSN2,0.288949,teufel
CLA4,TEC1,-0.247769,teufel
CLA4,YRM1,1.789212,teufel
CLB1,RAP1,0.43846,teufel
CLB1,SWI4,0.106475,teufel
CLB1,YAP1,0.008252,teufel
CLB1,YHP1,0.377114,teufel
CLB3,DAL82,0.114634,teufel
CLB3,YRM1,0.834274,teufel
CLB4,FKH1,0.443253,yeastract_strict
CLB5,MBP1,0.049397,teufel
CLB5,SWI4,0.195621,teufel
CLB5,SWI6,0.34601,teufel
CLN1,MBP1,-0.193767,yeastract_strict
CLN1,STE12,0.348691,teufel
CLN1,SWI4,0.189237,teufel
CLN1,TEC1,1.589784,teufel
CLN2,STE12,0.532124,teufel
CLN2,SWI4,1.375344,teufel
CLN3,MCM1,0.550142,teufel
CLN3,RAP1,0.42586,teufel
CLN3,SWI4,-0.24397,teufel
CLU1,RPN4,3.015313,yeastract_strict
CMD1,CST6,0.572004,teufel
CMD1,RPN4,5.277815,teufel
CMK2,YAP1,0.646862,teufel
CMS1,FKH1,0.176061,yeastract_strict
CMS1,RAP1,0.586858,teufel
COA4,STE12,1.004643,teufel
COG2,STE12,0.759076,teufel
COG3,STE12,1.293066,teufel
COG7,INO4,0.520359,teufel
COQ2,HAP1,1.927337,teufel
COQ6,MSN2,2.523329,teufel
COR1,CST6,0.199848,yeastract_strict
COR1,GCN4,0.05896,teufel
COR1,YAP1,0.238231,teufel
COS12,RAP1,0.11019,teufel
COS12,STE12,0.199582,teufel
COS6,ABF1,0.042547,teufel
COS6,PDR1,0.121823,teufel
COS6,SWI4,0.109102,teufel
COS8,RAP1,0.117437,teufel
COS8,STE12,0.531279,teufel
COT1,AFT1,0.966544,teufel
COX11,IFH1,0.136288,teufel
COX11,RAP1,0.354861,teufel
COX12,CIN5,3.433203,teufel
COX13,STE12,3.924262,teufel
COX14,AFT1,0.908555,teufel
COX15,HAP1,3.845337,teufel
COX16,HAP2,1.302257,teufel
COX17,GCN4,0.130136,teufel
COX20,FHL1,0.824616,teufel
COX20,MSN2,0.715968,teufel
COX23,INO4,0.65238,yeastract_strict
COX4,RAP1,0.477978,yeastract_strict
COX5A,FLO8,1.569646,teufel
COX5A,HAP2,1.216655,teufel
COX5B,GCN4,0.045936,yeastract_strict
COX6,ABF1,0.378285,teufel
COX6,HAP3,0.425327,teufel
COX6,HAP5,0.138023,teufel
COX7,HAP2,2.693157,teufel
COX8,HAP2,4.084375,teufel
COX9,HAP2,10.521705,teufel
COY1,GCN4,0.055559,yeastract_strict
COY1,STE12,0.226625,teufel
CPA1,GCN4,0.266401,teufel
CPA2,GCN4,0.242381,teufel
CPR1,ABF1,14.841234,teufel
CPR1,HSF1,17.30425,teufel
CPR2,IXR1,5.135141,yeastract_strict
CPR4,RAP1,0.910798,teufel
CPR5,ABF1,6.003085,teufel
CPR6,HSF1,1.659764,teufel
CPR8,STE12,1.302586,teufel
CPR8,SWI4,0.314051,teufel
CPS1,GLN3,1.547631,teufel
CPT1,GCN4,0.16123,yeastract_strict
CRD1,YAP1,0.221665,yeastract_strict
CRH1,ASH1,0.290354,teufel
CRH1,SOK2,1.164011,teufel
CRH1,TEC1,2.824454,teufel
CRM1,STE12,4.469435,teufel
CRM1,TEC1,1.043548,teufel
CRR1,AFT1,0.153189,teufel
CRR1,SUM1,0.064773,teufel
CRZ1,PHO4,0.191412,teufel
CRZ1,YRM1,0.952328,teufel
CSG2,MCM1,0.68193,teufel
CSG2,RAP1,0.798093,teufel
CSH1,ABF1,0.295025,teufel
CSI2,ASH1,0.078637,teufel
CSI2,SWI6,0.186177,teufel
CSI2,TEC1,0.034298,teufel
CSL4,CBF1,0.189814,yeastract_strict
CSL4,MCM1,1.856552,teufel
CSM1,FKH1,0.267697,yeastract_strict
CSM1,MSN2,0.459225,teufel
CSN9,GCN4,0.006085,yeastract_strict
CSN9,GCR2,0.081399,teufel
CSN9,STE12,0.179269,teufel
CSR1,ABF1,0.424842,teufel
CSR1,AFT1,0.519175,teufel
CST6,STE12,1.290488,teufel
CTF4,STE12,0.566224,teufel
CTH1,SFP1,1.888942,teufel
CTK1,GCN4,0.021733,yeastract_strict
CTK2,MSN2,0.87542,teufel
CTK3,PDR1,0.413622,yeastract_strict
CTR1,MAC1,0.638089,teufel
CTR1,MSN2,0.129311,teufel
CTR2,MAC1,3.241887,teufel
CTS1,ACE2,1.194282,teufel
CTS1,FKH1,-2.028533,teufel
CTS1,STE12,3.248426,teufel
CTS1,SWI5,3.640444,teufel
CTS2,GCN4,0.03097,yeastract_strict
CUE1,DAL82,4.414594,teufel
CUE2,SOK2,0.15547,teufel
CUE2,YAP1,0.087727,teufel
CUE4,ACE2,0.536359,teufel
CUE4,MBP1,0.262686,teufel
CUE4,SKN7,0.572244,teufel
CUE4,SWI4,0.425841,yeastract_strict
CUP9,BAS1,0.814625,yeastract_strict
CUR1,YAP1,0.412295,teufel
CUS1,ADR1,0.902755,teufel
CUS1,TEC1,0.292063,teufel
CWC2,YOX1,0.263877,teufel
CWC23,YAP1,0.147328,yeastract_strict
CWH41,STE12,3.288077,teufel
CWH43,TEC1,3.037096,teufel
CWP1,RAP1,0.187187,teufel
CWP1,SWI4,1.34515,teufel
CWP1,SWI6,2.183591,teufel
CWP1,TEC1,2.078382,teufel
CWP2,DAL82,23.803271,teufel
CWP2,MBP1,36.719086,teufel
CWP2,OAF1,7.608946,teufel
CWP2,RAP1,10.627019,yeastract_strict
CWP2,SOK2,14.98757,teufel
CWP2,SWI4,29.511171,teufel
CWP2,SWI6,1.476982,teufel
CWP2,YRR1,4.155347,yeastract_strict
CYB2,YRM1,0.752573,teufel
CYB5,HAP1,2.370213,teufel
CYC1,HAP5,0.454921,teufel
CYC1,YAP1,0.231616,teufel
CYC3,STE12,0.682451,teufel
